AcquirerName,TargetName,TransactionAnnouncementDate,PercentageOfSharesAcquired,AcquirerRegion,TargetRegion,PricePerShare,CurrencyCodeOfTransaction,DealPurpose,FormOfTransactionName,TransactionStatus,InitialPricePerShare,PremiumAsOn1DayPriorToAnnouncementDate,PremiumAsOn1WeekPriorToAnnouncementDate,PremiumAsOn4WeeksPriorToAnnouncementDate,AcquirerPublicStatus,TargetPublicStatus,AcquirerMidIndustry,TargetMidIndustry,AnalystEstimatedValue,RatioOfTransactionValueToNetIncome,RatioOfTransactionValueToCashFlow,RatioOfTransactionValueToSales,RatioOfRankvalueToNetIncome,RatioOfRankvalueToCashFlow,RatioOfRankvalueToSales,TransactionValueIncludingNetDebtOfTarget,TransactionEffectiveDate
['Comcast Corp'],['TFCF Corp'],2018-06-13,0,Americas,Americas,35.0,US,"['Sell a loss making/bankrupt operation', 'Strengthen operations', 'Increase shareholder value', 'Allow to offer new products and services']",Merger,Withdrawn,35.0,1970-01-01 00:00:00.000000040,1970-01-01 00:00:00.000000032,1970-01-01 00:00:00.000000031,Public,Public,Cable,Cable,,21.308,10.182,2.22,25.457,12.165,2.652,77464.372,2018-06-13
['Chevron Corp'],['Anadarko Petroleum Corp'],2019-04-12,0,Americas,Americas,64.996,US,"['Create synergies, eliminate duplicate services/operations', 'Strengthen operations', 'Increase shareholder value']",Merger,Withdrawn,64.996,1970-01-01 00:00:00.000000038,1970-01-01 00:00:00.000000038,1970-01-01 00:00:00.000000045,Public,Public,Petrochemicals,Oil & Gas,,62.177,6.162,3.631,63.345,6.277,3.699,48712.296,2019-04-12
['Hong Kong Exchanges and Clearing Ltd'],['London Stock Exchange Group PLC'],2019-09-11,0,Asia Pacific Excluding Central Asia,Europe,103.287,STG,"['Expand presence in new/foreign markets', 'Create synergies, eliminate duplicate services/operations', 'Strengthen existing operations/expand presence in primary market', 'Increase shareholder value', 'General strategy to take advantage of sound investment opportunities', 'Allow to offer new products and services']",Merger,Withdrawn,103.287,1970-01-01 00:00:00.000000022,1970-01-01 00:00:00.000000017,1970-01-01 00:00:00.000000024,Public,Public,Brokerage,Brokerage,,110.412,51.97,25.666,110.412,51.97,25.666,37259.153,2019-09-11
['Xerox Holdings Corp'],['HP Inc'],2019-11-06,0,Americas,Americas,23.938,US,"['Strengthen existing operations/expand presence in secondary market', 'Create synergies, eliminate duplicate services/operations', 'Strengthen existing operations/expand presence in primary market']",Merger,Withdrawn,22.335,1970-01-01 00:00:00.000000032,1970-01-01 00:00:00.000000036,1970-01-01 00:00:00.000000046,Public,Public,Computers & Peripherals,Computers & Peripherals,33000.0,11.742,6.804,0.594,11.961,6.93,0.606,35524.904,2019-11-06
['Alimentation Couche-Tard Inc'],['Carrefour SA'],2021-01-12,0,Americas,Europe,24.414,EUR,"['Expand presence in new/foreign markets', 'Strengthen operations', 'Increase shareholder value']",Merger,Withdrawn,24.414,1970-01-01 00:00:00.000000030,1970-01-01 00:00:00.000000033,1970-01-01 00:00:00.000000048,Public,Public,Food Processing,FOOD/BEVERAGES,,18.949,3.631,0.224,32.799,6.284,0.388,34151.922,2021-01-12
['Canadian National Railway Co'],['Kansas City Southern'],2021-04-20,0,Americas,Americas,325.156,US,"['Strengthen existing operations/expand presence in secondary market', 'Create synergies, eliminate duplicate services/operations', 'Increase shareholder value']",Merger,Withdrawn,325.206,1970-01-01 00:00:00.000000045,1970-01-01 00:00:00.000000050,1970-01-01 00:00:00.000000052,Public,Public,Transportation & Infrastructure,Transportation & Infrastructure,,54.0,24.418,12.847,53.542,24.21,12.738,33206.557,2021-04-20
['Aon PLC'],['Willis Towers Watson PLC'],2020-03-09,0,Europe,Europe,234.155,STG,"['Concentrate on core businesses/assets', 'Create synergies, eliminate duplicate services/operations', 'Strengthen existing operations/expand presence in primary market', 'Increase shareholder value', 'General strategy to take advantage of sound investment opportunities', 'Allow to offer new products and services']",Merger,Withdrawn,234.155,1970-01-01 00:00:00.000000017,1970-01-01 00:00:00.000000014,1970-01-01 00:00:00.000000007,Public,Public,INSURANCE,INSURANCE,,29.339,14.79,3.389,29.339,14.79,3.389,30140.582,2020-03-09
['Unilever NV'],['Unilever PLC'],2018-03-15,0,Europe,Europe,53.695,STG,"['Strengthen existing operations/expand presence in primary market', 'General restructuring of business/operations', 'Increase shareholder value', 'General strategy to take advantage of sound investment opportunities']",Merger,Withdrawn,53.695,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000001,Public,Public,Food and Beverage,Food and Beverage,,8.013,4.879,0.881,11.094,6.755,1.22,91563.677,2018-03-15
['Draftkings Inc'],['Entain PLC'],2021-09-21,0,Americas,Europe,38.24,STG,"['Expand presence in new/foreign markets', 'Strengthen operations']",Merger,Withdrawn,38.24,1970-01-01 00:00:00.000000046,1970-01-01 00:00:00.000000044,1970-01-01 00:00:00.000000049,Public,Public,Casinos & Gaming,Casinos & Gaming,20000.0004785,254.434,17.676,4.129,284.219,19.745,4.613,25274.939,2021-09-21
['Chubb Ltd'],['Hartford Financial Services Group Inc'],2021-03-18,0,Americas,Americas,70.0,US,['Increase shareholder value'],Merger,Withdrawn,65.0,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000028,1970-01-01 00:00:00.000000041,Public,Public,INSURANCE,INSURANCE,21000.0,14.757,8.2,1.207,14.757,8.2,1.207,25189.713,2021-03-18
['Barrick Gold Corp'],['Newmont Corporation'],2019-02-22,0,Americas,Americas,44.014,US,"['Create synergies, eliminate duplicate services/operations', 'Strengthen operations', 'Increase shareholder value']",Merger,Withdrawn,35.41,1970-01-01 00:00:00.000000024,1970-01-01 00:00:00.000000032,1970-01-01 00:00:00.000000032,Public,Public,Metals & Mining,Metals & Mining,19000.0,86.512,9.793,3.232,89.523,10.134,3.345,24260.818,2019-02-22
['BCE Inc'],['Shaw Communications Inc'],2021-04-23,0,Americas,Americas,32.39,C,['Strengthen operations'],Merger,Withdrawn,32.39,1970-01-01 00:00:00.000000078,1970-01-01 00:00:00.000000079,1970-01-01 00:00:00.000000080,Public,Public,Wireless,Cable,,26.81,7.966,3.657,34.853,10.356,4.754,20598.576,2021-04-23
['Zoom Video Communications Inc'],['Five9 Inc'],2021-07-18,0,Americas,Americas,200.278,US,['Strengthen operations'],Merger,Withdrawn,200.278,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000009,Public,Public,Internet Software & Services,Software,,-302.449,1097.74,27.54,-306.815,1113.589,27.937,14574.655,2021-07-18
['Stellantis NV'],['Renault SA'],2019-05-27,0,Europe,Europe,68.375,EUR,"['Expand presence in new/foreign markets', 'Create synergies, eliminate duplicate services/operations', 'Strengthen operations', 'Allow to offer new products and services']",Merger,Withdrawn,68.375,,,,Public,Public,Automobiles & Auto Parts,AUTOMOTIVE,,5.346,2.575,0.307,3.88,1.868,0.223,14352.023,2019-05-27
['Oppidum Bidco Ltd'],['WM Morrison Supermarkets Ltd'],2021-07-03,0,Europe,Europe,3.874,STG,"['Expand presence in new/foreign markets', 'Strengthen operations']",Merger,Withdrawn,3.413,1970-01-01 00:00:00.000000060,1970-01-01 00:00:00.000000062,1970-01-01 00:00:00.000000058,Private,Public,Other Financials,Food Processing,,-246.566,8.502,0.385,-356.173,12.282,0.557,13508.216,2021-07-03
['MGM Resorts International'],['Entain PLC'],2021-01-04,0,Americas,Europe,18.974,STG,"['Expand presence in new/foreign markets', 'Strengthen operations']",Merger,Withdrawn,18.974,1970-01-01 00:00:00.000000022,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000036,Public,Public,Casinos & Gaming,Casinos & Gaming,,71.351,9.759,2.28,86.563,11.84,2.766,13467.105,2021-01-04
['APA Group'],['Ausnet Pty Ltd'],2021-09-21,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.885,AU,"['Create synergies, eliminate duplicate services/operations', 'Strengthen operations']",Merger,Withdrawn,1.885,1970-01-01 00:00:00.000000031,1970-01-01 00:00:00.000000031,1970-01-01 00:00:00.000000030,Public,Public,Oil & Gas,Power,6594.6,32.958,8.305,5.174,58.54,14.752,9.189,12821.495,2021-09-21
['Pembina Pipeline Corp'],['Inter Pipeline Ltd (Pre-Merger)'],2021-06-01,0,Americas,Americas,16.121,C,"['Create synergies, eliminate duplicate services/operations', 'Strengthen operations', 'Allow to offer new products and services']",Merger,Withdrawn,16.121,1969-12-31 23:59:59.999999983,1969-12-31 23:59:59.999999988,1969-12-31 23:59:59.999999988,Public,Public,Pipelines,Pipelines,,20.986,8.501,3.347,38.53,15.607,6.144,12703.836,2021-06-01
['Quebec BV'],['Qiagen NV'],2020-03-03,0,Europe,Europe,49.063,EUR,"['Expand presence in new/foreign markets', 'Sale to comply with regulatory requirements', 'Create synergies, eliminate duplicate services/operations', 'Strengthen operations', 'Allow to offer new products and services']",Merger,Withdrawn,44.499,1970-01-01 00:00:00.000000046,1970-01-01 00:00:00.000000053,1970-01-01 00:00:00.000000072,Subsidiary,Public,Other Financials,Biotechnology,,843.908,19.973,7.646,813.26,19.247,7.369,12151.235,2020-03-03
['China Three Gorges Europe SA'],['Edp SA'],2018-05-11,0,Europe,Europe,3.884,EUR,"['Strengthen existing operations/expand presence in secondary market', 'Proceeds used to pay down existing outstanding debt']",Merger,Withdrawn,3.884,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000002,Subsidiary,Public,Other Financials,Power,,10.029,4.497,0.953,20.36,9.129,1.936,25349.65,2018-05-11
['Broadcom Ltd'],['Qualcomm Inc'],2017-11-06,0,Americas,Americas,79.0,US,"['Create synergies, eliminate duplicate services/operations', 'Strengthen operations', 'Other', 'Allow to offer new products and services']",Merger,Withdrawn,70.0,1970-01-01 00:00:00.000000044,1970-01-01 00:00:00.000000044,1970-01-01 00:00:00.000000050,Public,Public,Semiconductors & Semiconductor Equipment,Semiconductors,103200.0,57.777,34.95,6.389,52.448,31.726,5.8,142419.455,2017-11-06
